Asset_Sub_Type,Elements
Amenity Building,Access Strip
Amenity Building,Alternator
Amenity Building,Balustrade
Amenity Building,Beams
Amenity Building,Cable and Pipe Management
Amenity Building,Ceiling
Amenity Building,Climate Control
Amenity Building,Distribution Board
Amenity Building,Distribution Network Operator Feeder
Amenity Building,Doors and Windows
Amenity Building,Drainage System
Amenity Building,Electrical System
Amenity Building,Electricity Meter
Amenity Building,Electricity Sub Meter
Amenity Building,Equipment Mounting Board
Amenity Building,External Features
Amenity Building,External Walls
Amenity Building,Fastenings
Amenity Building,Fire Protection
Amenity Building,Fixed Fall Arrest System
Amenity Building,Fixings
Amenity Building,Floor
Amenity Building,Foundation
Amenity Building,Frame
Amenity Building,Fuel Cell
Amenity Building,Gas System
Amenity Building,Grassed Elements
Amenity Building,Habitat Enhancement
Amenity Building,Handrail
Amenity Building,Heating System
Amenity Building,Hydro Turbine
Amenity Building,Incomer
Amenity Building,Internal Features
Amenity Building,Internal Walls
Amenity Building,Lighting
Amenity Building,Maintenance Hole
Amenity Building,Padlock or Lock
Amenity Building,Planted Elements
Amenity Building,Pump Out Point
Amenity Building,Roller Shutters
Amenity Building,Roof
Amenity Building,Security Camera
Amenity Building,Sewage Treatment System
Amenity Building,Solar Panel
Amenity Building,Substructure
Amenity Building,Transformer
Amenity Building,Treads and Risers
Amenity Building,Uninterruptible Power Supply
Amenity Building,Ventilation System
Amenity Building,Waste Disposal System
Amenity Building,Water Point
Amenity Building,Water Supply Plumbing System
Automation Controls,Automation Interface
Automation Controls,Distribution Board
Automation Controls,Distribution Network Operator Feeder
Automation Controls,Electrical System
Automation Controls,Electricity Meter
Automation Controls,Electricity Sub Meter
Automation Controls,Human Machine Interface
Automation Controls,Incomer
Automation Controls,Network
Automation Controls,Programmable Logic Computers
Automation Controls,Relay Control
Automation Controls,Router
Automation Controls,SCADA
Automation Controls,Server
Automation Controls,Transformer
Automation Controls,Uninterruptible Power Supply
Barrier Beach,Berm
Barrier Beach,Crest
Barrier Beach,Exposed Face
Barrier Beach,Landward Face
Barrier Beach,Shore
Beach,Berm
Beach,Crest
Beach,Shingle Bank
Beach,Shore
Beacon,Civils
Beacon,Daymark
Beacon,Electrical System
Beacon,Equipment Housing
Beacon,Fastenings
Beacon,Foghorn
Beacon,Navigation Light
Beacon,Positional Indicator
Beacon,Post
Beacon,Solar Panel
Beacon,TopMark
Beacon,Wind Turbine
Boat Lift,Access Strip
Boat Lift,Bearing Piling
Boat Lift,Gantry
Boat Lift,Gearbox
Boat Lift,Jib Crane
Boat Lift,Ladder
Boat Lift,Mooring Point
Boat Lift,Motor
Boat Lift,Piling
Boat Lift,Security Barrier
Boat Lift,Slope
Boat Lift,Stoplogs and Lasherboards
Boat Lift,Walkway
Boathouse,Alternator
Boathouse,Anchor and Chain
Boathouse,Ceiling
Boathouse,Climate Control
Boathouse,Distribution Board
Boathouse,Distribution Network Operator Feeder
Boathouse,Doors and Windows
Boathouse,Drainage System
Boathouse,Electrical System
Boathouse,Electricity Meter
Boathouse,Electricity Sub Meter
Boathouse,External Features
Boathouse,Fire Protection
Boathouse,Fixed Fall Arrest System
Boathouse,Floats
Boathouse,Floor
Boathouse,Foundation
Boathouse,Frame
Boathouse,Fuel Cell
Boathouse,Gas System
Boathouse,Heating System
Boathouse,Hydro Turbine
Boathouse,Incomer
Boathouse,Internal Features
Boathouse,Lighting
Boathouse,Roller Shutters
Boathouse,Roof
Boathouse,Security Camera
Boathouse,Solar Panel
Boathouse,Transformer
Boathouse,Treads and Risers
Boathouse,Uninterruptible Power Supply
Boathouse,Ventilation System
Boathouse,Waste Disposal System
Boathouse,Water Supply Plumbing System
Boatroller,Access Strip
Boatroller,Bearing Piling
Boatroller,Foundation
Boatroller,Frame
Boatroller,Gantry
Boatroller,Ladder
Boatroller,Mooring Point
Boatroller,Piling
Boatroller,Retaining Wall
Boatroller,Rollers
Boatroller,Security Barrier
Boatroller,Slope
Boatroller,Stoplogs and Lasherboards
Boatroller,Walkway
Boatroller,Winch
Borehole,Access Point
Borehole,Access Strip
Borehole,Borehole Cap
Borehole,Cable and Pipe Management
Borehole,Camera
Borehole,Casing
Borehole,Chamber
Borehole,Climate Control
Borehole,Common Controls
Borehole,Cover or Hatch
Borehole,Datum Plates and Markers
Borehole,Distribution Board
Borehole,Distribution Network Operator Feeder
Borehole,Electrical System
Borehole,Electricity Meter
Borehole,Electricity Sub Meter
Borehole,Equipment Housing
Borehole,Expansion Joint
Borehole,External Walls
Borehole,Fastenings
Borehole,Fixings
Borehole,Floor
Borehole,Foundation
Borehole,Frame
Borehole,Grassed Elements
Borehole,Incomer
Borehole,Ladder
Borehole,Lifting Chains and Sprockets
Borehole,Lighting
Borehole,Maintenance Hole
Borehole,Measurement Scale
Borehole,Padlock or Lock
Borehole,Pipe
Borehole,Pipe Flange
Borehole,Pipe Sleeve
Borehole,Pipe T Piece
Borehole,Pipe Valve
Borehole,Pipework
Borehole,Planted Elements
Borehole,Relay Control
Borehole,Seals
Borehole,Security Camera
Borehole,Sensor
Borehole,Shaft
Borehole,Solar Panel
Borehole,Struts and Bracing
Borehole,Substructure
Borehole,Surge Arrester
Borehole,Transformer
Borehole,Treads and Risers
Borehole,Vertical Extended Spindle
Borehole,Wind Turbine
Breakwater,Bearing Piling
Breakwater,Bedding Layer
Breakwater,Capping Beam
Breakwater,Crest
Breakwater,Exposed Face
Breakwater,Face Protection
Breakwater,Fishtail
Breakwater,Landward Face
Breakwater,Left Face
Breakwater,Mooring Point
Breakwater,Piling
Breakwater,Right Face
Breakwater,Roundhead
Breakwater,Sheet Piling
Breakwater,Treads and Risers
Breakwater,Waling
Bridge Abutment,Berm
Bridge Abutment,Channel Side
Bridge Abutment,Crest
Bridge Abutment,Exposed Face
Bridge Abutment,Landward Face
Bridge Abutment,Shore
Bridge,Abutment
Bridge,Automation Interface
Bridge,Balustrade
Bridge,Bollard
Bridge,Cable and Pipe Management
Bridge,Channel Bed
Bridge,Deck
Bridge,Drive Assembly
Bridge,Foundation
Bridge,Handrail
Bridge,Pillar
Bridge,Security Barrier
Bridge,Span
Bridge,Treads and Risers
Buoy,Anchor and Chain
Buoy,Daymark
Buoy,Fastenings
Buoy,Foghorn
Buoy,Frame
Buoy,Mooring Point
Buoy,Navigation Light
Buoy,Positional Indicator
Buoy,Post
Buoy,TopMark
Cableway,Access Point
Cableway,Access Strip
Cableway,Beams
Cableway,Cable and Pipe Management
Cableway,Chain Blocks
Cableway,Drive Assembly
Cableway,Equipment Housing
Cableway,Fixings
Cableway,Foundation
Cableway,Frame
Cableway,Padlock or Lock
Cableway,Ropes
Cableway,Stanchions and Anchors
Cableway,Structural Steelwork
Cableway,Treads and Risers
Cableway,Winch
Canoe Pass,Access Strip
Canoe Pass,Bearing Piling
Canoe Pass,Chamber
Canoe Pass,Channel Bed
Canoe Pass,Gantry
Canoe Pass,Ladder
Canoe Pass,Left Bank Wall
Canoe Pass,Mooring Point
Canoe Pass,Piling
Canoe Pass,Right Bank Wall
Canoe Pass,Security Barrier
Canoe Pass,Slope
Canoe Pass,Stoplogs and Lasherboards
Canoe Pass,Walkway
Canoe Portage Point,Access Strip
Canoe Portage Point,Anchor and Chain
Canoe Portage Point,Bearing Piling
Canoe Portage Point,Capping Beam
Canoe Portage Point,Deck
Canoe Portage Point,Fender
Canoe Portage Point,Gantry
Canoe Portage Point,Habitat Enhancement
Canoe Portage Point,Mooring Point
Canoe Portage Point,Piling
Canoe Portage Point,Security Barrier
Canoe Portage Point,Sheet Piling
Canoe Portage Point,Slope
Canoe Portage Point,Treads and Risers
Car Park or Hardstanding,Access Point
Car Park or Hardstanding,Access Strip
Car Park or Hardstanding,Bollard
Car Park or Hardstanding,Drainage Ditch
Car Park or Hardstanding,Drainage System
Car Park or Hardstanding,Grassed Elements
Car Park or Hardstanding,Kerbs
Car Park or Hardstanding,Lighting
Car Park or Hardstanding,Parking Surface
Car Park or Hardstanding,Road
Car Park or Hardstanding,Security Barrier
Car Park or Hardstanding,Security Camera
CCTV Camera System,Camera
CCTV Camera System,Civils
CCTV Camera System,Distribution Board
CCTV Camera System,Distribution Network Operator Feeder
CCTV Camera System,Electrical System
CCTV Camera System,Electricity Meter
CCTV Camera System,Electricity Sub Meter
CCTV Camera System,Equipment Housing
CCTV Camera System,Fastenings
CCTV Camera System,Foundation
CCTV Camera System,Incomer
CCTV Camera System,Mast
CCTV Camera System,Sensor
CCTV Camera System,Solar Panel
CCTV Camera System,Transformer
CCTV Camera System,Treads and Risers
CCTV Camera System,Wind Turbine
Central Pier,Access Point
Central Pier,Deck
Central Pier,Expansion Joint
Central Pier,External Features
Central Pier,Foundation
Central Pier,Roof
Central Pier,Treads and Risers
Cliff,Cliff Top
Cliff,Drainage Ditch
Cliff,Exposed Face
Cliff,Exposed Toe
Cliff,Face Protection
Complex Culvert,Apron
Complex Culvert,Channel Bed
Complex Culvert,Downstream Headwall
Complex Culvert,Left Culvert Wall
Complex Culvert,Maintenance Hole
Complex Culvert,Right Culvert Wall
Complex Culvert,Soffit
Complex Culvert,Upstream Headwall
Control Building,Access Strip
Control Building,Alternator
Control Building,Beams
Control Building,Cable and Pipe Management
Control Building,Ceiling
Control Building,Civils
Control Building,Climate Control
Control Building,Datum Plates and Markers
Control Building,Distribution Board
Control Building,Distribution Network Operator Feeder
Control Building,Doors and Windows
Control Building,Drainage System
Control Building,Electrical System
Control Building,Electricity Meter
Control Building,Electricity Sub Meter
Control Building,Equipment Housing
Control Building,Equipment Mounting Board
Control Building,External Features
Control Building,External Walls
Control Building,Fastenings
Control Building,Fire Protection
Control Building,Fixed Fall Arrest System
Control Building,Fixings
Control Building,Floor
Control Building,Foundation
Control Building,Frame
Control Building,Fuel Cell
Control Building,Gas System
Control Building,Grassed Elements
Control Building,Habitat Enhancement
Control Building,Heating System
Control Building,Hydro Turbine
Control Building,Incomer
Control Building,Internal Features
Control Building,Internal Walls
Control Building,Ladder
Control Building,Lighting
Control Building,Maintenance Hole
Control Building,Padlock or Lock
Control Building,Planted Elements
Control Building,Roller Shutters
Control Building,Roof
Control Building,Security Camera
Control Building,Sewage Treatment System
Control Building,Solar Panel
Control Building,Structural Steelwork
Control Building,Substructure
Control Building,Transformer
Control Building,Treads and Risers
Control Building,Uninterruptible Power Supply
Control Building,Ventilation System
Control Building,Waste Disposal System
Control Building,Water Supply Plumbing System
Control Building,Wind Turbine
Control Gate,Actuator
Control Gate,Alternator
Control Gate,Apron
Control Gate,Balance Beam
Control Gate,Balance Weight
Control Gate,Cathodic Protection
Control Gate,Central Support Structure
Control Gate,Chains
Control Gate,Cill
Control Gate,Dampers
Control Gate,Davit
Control Gate,Displacer System
Control Gate,Distribution Board
Control Gate,Distribution Network Operator Feeder
Control Gate,Drive Assembly
Control Gate,Electrical System
Control Gate,Electricity Meter
Control Gate,Electricity Sub Meter
Control Gate,Face Plate
Control Gate,Fixed Fall Arrest System
Control Gate,Flap Valve
Control Gate,Foghorn
Control Gate,Frame
Control Gate,Fuel Cell
Control Gate,Gantry
Control Gate,Gate
Control Gate,Gearbox
Control Gate,Hydro Turbine
Control Gate,Incomer
Control Gate,Jib Crane
Control Gate,Ladder
Control Gate,Left Bank Wall
Control Gate,Lifting Chains and Sprockets
Control Gate,Lifting Ropes and Drums
Control Gate,Motor
Control Gate,Navigation Light
Control Gate,Overhead Crane
Control Gate,Pontoon
Control Gate,Right Bank Wall
Control Gate,Seals
Control Gate,Solar Panel
Control Gate,Springs
Control Gate,Stoplogs and Lasherboards
Control Gate,Structural Steelwork
Control Gate,Struts and Bracing
Control Gate,Transformer
Control Gate,Treads and Risers
Control Gate,Uninterruptible Power Supply
Control Gate,Winch
Control Gate,Wind Turbine
Control Gate,Wire Ropes
Debris Boom,Access Strip
Debris Boom,Anchor and Chain
Debris Boom,Barrier Fixings
Debris Boom,Bearing Piling
Debris Boom,Central Support Structure
Debris Boom,Fastenings
Debris Boom,Fixings
Debris Boom,Floats
Debris Boom,Gantry
Debris Boom,Guide Pile
Debris Boom,Ladder
Debris Boom,Left Bank Wall
Debris Boom,Padlock or Lock
Debris Boom,Piling
Debris Boom,Post
Debris Boom,Right Bank Wall
Debris Boom,Ropes
Debris Boom,Treads and Risers
Debris Screen,Access Point
Debris Screen,Access Strip
Debris Screen,Alternator
Debris Screen,Articulated Arm
Debris Screen,Balustrade
Debris Screen,Central Support Structure
Debris Screen,Cover or Hatch
Debris Screen,Davit
Debris Screen,Distribution Board
Debris Screen,Distribution Network Operator Feeder
Debris Screen,Electrical System
Debris Screen,Electricity Meter
Debris Screen,Electricity Sub Meter
Debris Screen,Equipment Housing
Debris Screen,Fill
Debris Screen,Fixed Fall Arrest System
Debris Screen,Foundation
Debris Screen,Frame
Debris Screen,Fuel Cell
Debris Screen,Gantry
Debris Screen,Gearbox
Debris Screen,Ground Anchors
Debris Screen,Handrail
Debris Screen,Heating System
Debris Screen,Hydro Turbine
Debris Screen,Incomer
Debris Screen,Ladder
Debris Screen,Left Bank Wall
Debris Screen,Motor
Debris Screen,Overhead Crane
Debris Screen,Padlock or Lock
Debris Screen,Right Bank Wall
Debris Screen,Rotating Comb
Debris Screen,Rotating Drum
Debris Screen,Screen
Debris Screen,Silt Trap
Debris Screen,Solar Panel
Debris Screen,Structural Steelwork
Debris Screen,Transformer
Debris Screen,Treads and Risers
Debris Screen,Uninterruptible Power Supply
Debris Screen,Upstream Headwall
Debris Screen,Vertical Grab
Debris Screen,Winch
Debris Screen,Wind Turbine
Demountable Defence,Barrier
Demountable Defence,Barrier Fixings
Demountable Defence,Berm
Demountable Defence,Channel Side
Demountable Defence,Open Gap
Demountable Defence,Seals
Demountable Defence,Shore
Dock,Access Strip
Dock,Apron
Dock,Bollard
Dock,Chamber
Dock,Cill
Dock,Dock Face
Dock,Gantry
Dock,Ladder
Dock,Left Bank Wall
Dock,Lock Gate
Dock,Mooring Point
Dock,Pump
Dock,Right Bank Wall
Dock,Roof
Dock,Service Pedestal
Dock,Water Point
Dolphin,Bearing Piling
Dolphin,Gantry
Dolphin,Mooring Point
Dolphin,Piling
Draw Off Tower,Gantry
Draw Off Tower,Intake Tower
Draw Off Tower,Pipe
Draw Off Tower,Pipe Valve
Draw Off Tower,Treads and Risers
Dunes,Active Zone
Dunes,Boardwalk
Dunes,Stabilised Zone
Dunes,Vegetation Cover
Embankment,Access Strip
Embankment,Asset Transition
Embankment,Bearing Piling
Embankment,Berm
Embankment,Capping Beam
Embankment,Channel Side
Embankment,Core
Embankment,Crest
Embankment,Exposed Face
Embankment,Exposed Toe
Embankment,Fill
Embankment,Landward Face
Embankment,Landward Toe
Embankment,Pile Capping
Embankment,Piling
Embankment,Retaining Wall
Embankment,Sheet Piling
Embankment,Shore
Embankment,Toe Drain
Engine Assembly,Cooling System
Engine Assembly,Engine
Engine Assembly,Exhaust System
Engine Assembly,Fuel System
Engine Assembly,Gearbox
Engineered High Ground,Access Strip
Engineered High Ground,Bearing Piling
Engineered High Ground,Berm
Engineered High Ground,Capping Beam
Engineered High Ground,Channel Side
Engineered High Ground,Coping
Engineered High Ground,Expansion Joint
Engineered High Ground,Ground Anchors
Engineered High Ground,High Ground
Engineered High Ground,Piling
Engineered High Ground,Retaining Wall
Engineered High Ground,Sheet Piling
Engineered High Ground,Shore
Fish or Eel Barrier,Access Point
Fish or Eel Barrier,Access Strip
Fish or Eel Barrier,Band Screen
Fish or Eel Barrier,Cable and Pipe Management
Fish or Eel Barrier,Central Support Structure
Fish or Eel Barrier,Chain Blocks
Fish or Eel Barrier,Channel Bed
Fish or Eel Barrier,Equipment Housing
Fish or Eel Barrier,Fish Guidance and Deterrents
Fish or Eel Barrier,Fish or Eel Screen
Fish or Eel Barrier,Frame
Fish or Eel Barrier,Left Bank Wall
Fish or Eel Barrier,Lighting
Fish or Eel Barrier,Padlock or Lock
Fish or Eel Barrier,Pipe
Fish or Eel Barrier,Right Bank Wall
Fish or Eel Barrier,Ropes
Fish or Eel Barrier,Sensor
Fish or Eel Barrier,Solar Panel
Fish or Eel Barrier,Stanchions and Anchors
Fish or Eel Barrier,Treads and Risers
Fish Pass,Access Point
Fish Pass,Access Strip
Fish Pass,Apron
Fish Pass,Band Screen
Fish Pass,Bristle Mats
Fish Pass,Cable and Pipe Management
Fish Pass,Capping Beam
Fish Pass,Central Support Structure
Fish Pass,Chamber
Fish Pass,Channel
Fish Pass,Channel Bed
Fish Pass,Cill
Fish Pass,Cover or Hatch
Fish Pass,Crest
Fish Pass,Dampers
Fish Pass,Datum Plates and Markers
Fish Pass,Deflector
Fish Pass,Distribution Board
Fish Pass,Distribution Network Operator Feeder
Fish Pass,Downstream Face
Fish Pass,Downstream Headwall
Fish Pass,Eel Tiles
Fish Pass,Electrical System
Fish Pass,Electricity Meter
Fish Pass,Electricity Sub Meter
Fish Pass,Equipment Housing
Fish Pass,Excavated Ground
Fish Pass,Expansion Joint
Fish Pass,Face Plate
Fish Pass,Face Protection
Fish Pass,Fastenings
Fish Pass,Fixed Fall Arrest system
Fish Pass,Fixings
Fish Pass,Foundation
Fish Pass,Frame
Fish Pass,Fuel Cell
Fish Pass,Gantry
Fish Pass,Habitat Enhancement
Fish Pass,Hydro Turbine
Fish Pass,Incomer
Fish Pass,Inlet
Fish Pass,Ladder
Fish Pass,Left Face
Fish Pass,Maintenance Hole
Fish Pass,Mooring Point
Fish Pass,Navigation Light
Fish Pass,Outlet
Fish Pass,Padlock or Lock
Fish Pass,Pass Baffles
Fish Pass,Pass Channel
Fish Pass,Pipe
Fish Pass,Pipework
Fish Pass,Pre-Barrage
Fish Pass,Retaining Wall
Fish Pass,Right Face
Fish Pass,Seals
Fish Pass,Sensor
Fish Pass,Sheet Piling
Fish Pass,Silt Trap
Fish Pass,Solar Panel
Fish Pass,Springs
Fish Pass,Stoplogs and Lasherboards
Fish Pass,Struts and Bracing
Fish Pass,Substructure
Fish Pass,Transformer
Fish Pass,Treads and Risers
Fish Pass,Uninterruptible Power Supply
Fish Pass,Upstream Face
Fish Pass,Upstream Headwall
Fish Pass,Winch
Fish Pass,Wind Turbine
Fish Refuge,Access Point
Fish Refuge,Access Strip
Fish Refuge,Anchor and Chain
Fish Refuge,Animal Feeding Station
Fish Refuge,Balustrade
Fish Refuge,Floats
Fish Refuge,Gantry
Fish Refuge,Handrail
Fish Refuge,Ladder
Fish Refuge,Lifting Ropes and Drums
Fish Refuge,Lighting
Fish Refuge,Mooring Line Tensioners
Fish Refuge,Mooring Point
Fish Refuge,Netting and Non Reinforcement Mesh
Fish Refuge,Shackles
Fish Refuge,Treads and Risers
Fishing Cage,Access Point
Fishing Cage,Access Strip
Fishing Cage,Animal Feeding Station
Fishing Cage,Balustrade
Fishing Cage,Floats
Fishing Cage,Gantry
Fishing Cage,Handrail
Fishing Cage,Ladder
Fishing Cage,Lifting Ropes and Drums
Fishing Cage,Lighting
Fishing Cage,Mooring Line Tensioners
Fishing Cage,Mooring Point
Fishing Cage,Netting and Non Reinforcement Mesh
Fishing Cage,Shackles
Fishing Cage,Treads and Risers
Fishing Platform,Access Point
Fishing Platform,Access Strip
Fishing Platform,Balustrade
Fishing Platform,Deck
Fishing Platform,Fixed Seats
Fishing Platform,Handrail
Fishing Platform,Ladder
Fishing Platform,Treads and Risers
Flood Gate,Actuator
Flood Gate,Berm
Flood Gate,Cathodic Protection
Flood Gate,Channel Side
Flood Gate,Cill
Flood Gate,Davit
Flood Gate,Fastenings
Flood Gate,Frame
Flood Gate,Gate
Flood Gate,Gearbox
Flood Gate,Jib Crane
Flood Gate,Motor
Flood Gate,Overhead Crane
Flood Gate,Seals
Flood Gate,Shore
Flood Gate,Stoplogs and Lasherboards
Flood Gate,Winch
Flood Warning System,Equipment Housing
Flood Warning System,Fastenings
Flood Warning System,Fixings
Flood Warning System,Flood Warning Lamp
Flood Warning System,Flood Warning Sign
Flood Warning System,Flood Warning Siren
Flood Warning System,Treads and Risers
Ford,Flood Warning Sign
Ford,Road
Garage,Alternator
Garage,Ceiling
Garage,Climate Control
Garage,Distribution Board
Garage,Distribution Network Operator Feeder
Garage,Doors and Windows
Garage,Drainage System
Garage,Electrical System
Garage,Electricity Meter
Garage,Electricity Sub Meter
Garage,External Features
