Asset_Sub_Type,Elements
Precipitation Compound,Solar Panel
Precipitation Compound,Treads and Risers
Precipitation Compound,Turf Wall
Precipitation Compound,Wind Turbine
Pressure System Assembly,Bellows
Pressure System Assembly,Common Controls
Pressure System Assembly,Draindown Fountain
Pressure System Assembly,Filter or Strainer
Pressure System Assembly,Motor
Pressure System Assembly,Pipework
Pressure System Assembly,Pressure Storage Vessel
Pressure System Assembly,Pressure System
Pressure System Assembly,Pressure System Valves
Pressure System Assembly,Pump
Pressure System Assembly,Sensor
Promenade,Balustrade
Promenade,Fill
Promenade,Foundation
Promenade,High Ground
Promenade,Road
PSRA Tree Site,Tree
PSRA Tree Site,Tree Group
Public Safety Control System,Edge Marking
Public Safety Control System,Fencing
Public Safety Control System,Hedgerow or Planting
Public Safety Control System,Navigation Markings
Public Safety Control System,Padlock or Lock
Public Safety Control System,PSRA Access
Public Safety Control System,PSRA Gate
Public Safety Control System,PSRA Screen
Public Safety Control System,PSRA Signage
Public Safety Control System,Public Safety Alert Device
Public Safety Control System,Rescue Equipment
Public Safety Control System,Safety Boom
Public Safety Control System,Safety Screen
Public Safety Control System,Security Barrier
Public Safety Control System,Security Camera
Pump Assembly,Actuator
Pump Assembly,Bellows
Pump Assembly,Cathodic Protection
Pump Assembly,Dampers
Pump Assembly,Draindown Fountain
Pump Assembly,Electricity Meter
Pump Assembly,Electricity Sub Meter
Pump Assembly,Filter or Strainer
Pump Assembly,Gearbox
Pump Assembly,Lifting Chains and Sprockets
Pump Assembly,Motor
Pump Assembly,Pipe Joint
Pump Assembly,Pipework
Pump Assembly,Pump
Pump Assembly,Pump Valves
Pump Assembly,Sensor
Pump Assembly,Springs
Pump Assembly,Surge Vessel
Pump Assembly,Vertical Extended Spindle
Pump House,Access Strip
Pump House,Actuator
Pump House,Alternator
Pump House,Animal Grid
Pump House,Automation Interface
Pump House,Band Screen
Pump House,Beams
Pump House,Cable and Pipe Management
Pump House,Ceiling
Pump House,Chain Blocks
Pump House,Chamber
Pump House,Civils
Pump House,Climate Control
Pump House,Data Logger
Pump House,Datum Plates and Markers
Pump House,Davit
Pump House,Distribution Board
Pump House,Distribution Network Operator Feeder
Pump House,Doors and Windows
Pump House,Drainage System
Pump House,Electrical System
Pump House,Electricity Meter
Pump House,Electricity Sub Meter
Pump House,Equipment Housing
Pump House,Equipment Mounting Board
Pump House,External Features
Pump House,External Walls
Pump House,Fastenings
Pump House,Fire Protection
Pump House,Fixed Fall Arrest System
Pump House,Fixings
Pump House,Floor
Pump House,Foundation
Pump House,Frame
Pump House,Fuel Cell
Pump House,Gantry
Pump House,Gas System
Pump House,Grassed Elements
Pump House,Habitat Enhancement
Pump House,Heating System
Pump House,Hydro Turbine
Pump House,Incomer
Pump House,Internal Features
Pump House,Internal Walls
Pump House,Jib Crane
Pump House,Kerbs
Pump House,Ladder
Pump House,Lighting
Pump House,Maintenance Hole
Pump House,Network
Pump House,Outlet
Pump House,Overhead Crane
Pump House,Padlock or Lock
Pump House,Planted Elements
Pump House,Roller Shutters
Pump House,Roof
Pump House,Ropes
Pump House,Router
Pump House,Security Camera
Pump House,Sewage Treatment System
Pump House,Solar Panel
Pump House,Stoplogs and Lasherboards
Pump House,Structural Steelwork
Pump House,Struts and Bracing
Pump House,Substructure
Pump House,Thrust Pit
Pump House,TopMark
Pump House,Transformer
Pump House,Treads and Risers
Pump House,Uninterruptible Power Supply
Pump House,Ventilation System
Pump House,Waste Disposal System
Pump House,Water Supply Plumbing System
Pump House,Winch
Pump House,Wind Turbine
Quay,Bearing Piling
Quay,Capping Beam
Quay,Davit
Quay,Deck
Quay,Exposed Face
Quay,Face Protection
Quay,Gantry
Quay,Jib Crane
Quay,Ladder
Quay,Lock Gate
Quay,Mooring Point
Quay,Overhead Crane
Quay,Pile Capping
Quay,Piling
Quay,Quay Face
Quay,Roundhead
Quay,Service Pedestal
Quay,Sheet Piling
Quay,Shore
Quay,Stem
Quay,Water Point
Ramp,Apron
Ramp,Balustrade
Ramp,Bearing Piling
Ramp,Bollard
Ramp,Handrail
Ramp,Navigation Light
Ramp,Piling
Ramp,Retaining Wall
Ramp,Slope
Ramp,Wheel Stop
Ramp,Winch
Residential Building,Access Strip
Residential Building,Alternator
Residential Building,Animal Grid
Residential Building,Balustrade
Residential Building,Beams
Residential Building,Cable and Pipe Management
Residential Building,Ceiling
Residential Building,Climate Control
Residential Building,Distribution Board
Residential Building,Distribution Network Operator Feeder
Residential Building,Doors and Windows
Residential Building,Drainage System
Residential Building,Electrical System
Residential Building,Electricity Meter
Residential Building,Electricity Sub Meter
Residential Building,Equipment Mounting Board
Residential Building,External Features
Residential Building,External Walls
Residential Building,Fastenings
Residential Building,Fire Protection
Residential Building,Fixed Fall Arrest System
Residential Building,Fixings
Residential Building,Floor
Residential Building,Foundation
Residential Building,Frame
Residential Building,Fuel Cell
Residential Building,Gas System
Residential Building,Grassed Elements
Residential Building,Habitat Enhancement
Residential Building,Handrail
Residential Building,Heating System
Residential Building,Hydro Turbine
Residential Building,Incomer
Residential Building,Internal Features
Residential Building,Internal Walls
Residential Building,Kerbs
Residential Building,Lighting
Residential Building,Maintenance Hole
Residential Building,Padlock or Lock
Residential Building,Roller Shutters
Residential Building,Roof
Residential Building,Security Camera
Residential Building,Sewage Treatment System
Residential Building,Solar Panel
Residential Building,Substructure
Residential Building,Transformer
Residential Building,Treads and Risers
Residential Building,Uninterruptible Power Supply
Residential Building,Ventilation System
Residential Building,Waste Disposal System
Residential Building,Water Supply Plumbing System
Residential Building,Wind Turbine
Salt Marsh,Salt Marsh Edge
Salt Marsh,Vegetation Cover
Sample or Survey Point,Access Strip
Sample or Survey Point,Datum Plates and Markers
Sample or Survey Point,Treads and Risers
Sand Bagging Equipment,Common Controls
Sand Bagging Equipment,Electrical System
Sand Bagging Equipment,Frame
Sand Bagging Equipment,Gearbox
Sand Bagging Equipment,Motor
Sand Bagging Equipment,Pressure System
Sand Trap,Chamber
Sand Trap,Cover or Hatch
Sand Trap,Fastenings
Sand Trap,Fixings
Sand Trap,Floor
Sand Trap,Foundation
Sand Trap,Inlet
Sand Trap,Internal Walls
Sand Trap,Ladder
Sand Trap,Outlet
Sand Trap,Padlock or Lock
Sand Trap,Struts and Bracing
Sand Trap,Treads and Risers
Security Screen,Central Support Structure
Security Screen,Davit
Security Screen,Frame
Security Screen,Gantry
Security Screen,Ladder
Security Screen,Left Bank Wall
Security Screen,Right Bank Wall
Security Screen,Screen
Security Screen,Silt Trap
Security Screen,Treads and Risers
Security Screen,Winch
Shelter,Access Point
Shelter,Access Strip
Shelter,Beams
Shelter,Cable and Pipe Management
Shelter,Ceiling
Shelter,Climate Control
Shelter,Deck
Shelter,Distribution Board
Shelter,Distribution Network Operator Feeder
Shelter,Doors and Windows
Shelter,Drainage System
Shelter,Electrical System
Shelter,Electricity Meter
Shelter,Electricity Sub Meter
Shelter,Equipment Mounting Board
Shelter,External Features
Shelter,External Walls
Shelter,Fastenings
Shelter,Fire Protection
Shelter,Fixings
Shelter,Floor
Shelter,Foundation
Shelter,Frame
Shelter,Gas System
Shelter,Grassed Elements
Shelter,Habitat Enhancement
Shelter,Heating System
Shelter,Incomer
Shelter,Internal Features
Shelter,Internal Walls
Shelter,Kerbs
Shelter,Lighting
Shelter,Maintenance Hole
Shelter,Mooring Point
Shelter,Padlock or Lock
Shelter,Planted Elements
Shelter,Pontoon
Shelter,Post
Shelter,Roof
Shelter,Security Camera
Shelter,Sewage Treatment System
Shelter,Solar Panel
Shelter,Substructure
Shelter,Transformer
Shelter,Treads and Risers
Shelter,Uninterruptible Power Supply
Shelter,Ventilation System
Shelter,Waste Disposal System
Shelter,Water Point
Shelter,Water Supply Plumbing System
Shelter,Wind Turbine
Signal,Civils
Signal,Daymark
Signal,Electrical System
Signal,Equipment Housing
Signal,Fastenings
Signal,Foghorn
Signal,Navigation Light
Signal,Positional Indicator
Signal,Post
Signal,Solar Panel
Signal,Surge Arrester
Signal,TopMark
Signal,Wind Turbine
Simple Culvert,Apron
Simple Culvert,Channel Bed
Simple Culvert,Culvert Barrel
Simple Culvert,Downstream Headwall
Simple Culvert,Maintenance Hole
Simple Culvert,Soffit
Simple Culvert,Upstream Headwall
Slipway,Apron
Slipway,Bearing Piling
Slipway,Bollard
Slipway,Navigation Light
Slipway,Piling
Slipway,Retaining Wall
Slipway,Slope
Slipway,Treads and Risers
Slipway,Wheel Stop
Slipway,Winch
Soil Moisture Tube,Access Point
Soil Moisture Tube,Access Strip
Soil Moisture Tube,Animal Grid
Soil Moisture Tube,Borehole Cap
Soil Moisture Tube,Cable Management
Soil Moisture Tube,Casing
Soil Moisture Tube,Chamber
Soil Moisture Tube,Climate Control
Soil Moisture Tube,Common Controls
Soil Moisture Tube,Cover or Door
Soil Moisture Tube,Datum Plates and Markers
Soil Moisture Tube,Distribution Board
Soil Moisture Tube,Distribution Network Operator Feeder
Soil Moisture Tube,Electrical System
Soil Moisture Tube,Electricity Sub Meter
Soil Moisture Tube,Equipment Housing
Soil Moisture Tube,Expansion Joint
Soil Moisture Tube,External Walls
Soil Moisture Tube,Fastenings
Soil Moisture Tube,Fixings
Soil Moisture Tube,Floor
Soil Moisture Tube,Foundation
Soil Moisture Tube,Frame
Soil Moisture Tube,Grassed Elements
Soil Moisture Tube,Incomer
Soil Moisture Tube,Ladder
Soil Moisture Tube,Lifting Chains and Sprockets
Soil Moisture Tube,Lighting
Soil Moisture Tube,Maintenance Hole
Soil Moisture Tube,Measurement Scale
Soil Moisture Tube,Padlock or Lock
Soil Moisture Tube,Pipe
Soil Moisture Tube,Pipe Flange
Soil Moisture Tube,Pipe Sleeve
Soil Moisture Tube,Pipe T Piece
Soil Moisture Tube,Pipe Valve
Soil Moisture Tube,Pipework
Soil Moisture Tube,Planted Elements
Soil Moisture Tube,Relay Control
Soil Moisture Tube,Seals
Soil Moisture Tube,Shaft
Soil Moisture Tube,Solar Panel
Soil Moisture Tube,Substructure
Soil Moisture Tube,Transformer
Soil Moisture Tube,Treads and Risers
Soil Moisture Tube,Vertical Extended Spindle
Soil Moisture Tube,Wind Turbine
Solar Farm,Access Point
Solar Farm,Access Strip
Solar Farm,Cable and Pipe Management
Solar Farm,Common Controls
Solar Farm,Distribution Board
Solar Farm,Distribution Network Operator Feeder
Solar Farm,Electrical System
Solar Farm,Electricity Meter
Solar Farm,Electricity Sub Meter
Solar Farm,Foundation
Solar Farm,Frame
Solar Farm,Incomer
Solar Farm,Solar Panel
Solar Farm,Surge Arrester
Solar Farm,Transformer
Spillway,Crest
Spillway,Downstream Face
Spillway,Funnel
Spillway,Pipe
Spillway,Upstream Face
Steps,Balustrade
Steps,Fastenings
Steps,Handrail
Steps,Treads and Risers
Stilling Basin,Chamber
Stilling Basin,Outlet
Stilling Basin,Treads and Risers
Stilling Well,Antenna
Stilling Well,Cable and Pipe Management
Stilling Well,Chamber
Stilling Well,Cover or Hatch
Stilling Well,Drainage System
Stilling Well,Expansion Joint
Stilling Well,Fastenings
Stilling Well,Fixings
Stilling Well,Floor
Stilling Well,Foundation
Stilling Well,Frame
Stilling Well,Inlet
Stilling Well,Internal Features
Stilling Well,Ladder
Stilling Well,Lifting Chains and Sprockets
Stilling Well,Lifting Ropes and Drums
Stilling Well,Measurement Scale
Stilling Well,Outlet
Stilling Well,Padlock or Lock
Stilling Well,Pipe
Stilling Well,Pipe Valve
Stilling Well,Pump Out Point
Stilling Well,Seals
Stilling Well,Struts and Bracing
Stilling Well,Substructure
Stilling Well,Treads and Risers
Storage Location,Ceiling
Storage Location,Holding
Storage Location,Treads and Risers
Surface Water Tank,Access Point
Surface Water Tank,Access Strip
Surface Water Tank,Balustrade
Surface Water Tank,Beams
Surface Water Tank,Bund
Surface Water Tank,Camera
Surface Water Tank,Chamber
Surface Water Tank,Cover or Hatch
Surface Water Tank,Display
Surface Water Tank,Equipment Housing
Surface Water Tank,Foundation
Surface Water Tank,Frame
Surface Water Tank,Handrail
Surface Water Tank,Inlet
Surface Water Tank,Ladder
Surface Water Tank,Measurement Scale
Surface Water Tank,Outlet
Surface Water Tank,Padlock or Lock
Surface Water Tank,Pipe
Surface Water Tank,Pipe Flange
Surface Water Tank,Pipe Sleeve
Surface Water Tank,Pipe T Piece
Surface Water Tank,Pipe Valve
Surface Water Tank,Sensor
Surface Water Tank,Substructure
Surface Water Tank,Treads and Risers
Telecommunications,Cable Management
Telecommunications,Equipment Mounting Board
Telecommunications,Fixings
Telecommunications,Master Socket
Telecommunications,Padlock or Lock
Telemetry System,Antenna
Telemetry System,Battery
Telemetry System,Battery Charger
Telemetry System,Cable and Pipe Management
Telemetry System,Charge Controller
Telemetry System,Civils
Telemetry System,Climate Control
Telemetry System,Common Controls
Telemetry System,Control Equipment
Telemetry System,Data Card
Telemetry System,Data Logger
Telemetry System,Datum Plates and Markers
Telemetry System,Distribution Board
Telemetry System,Distribution Network Operator Feeder
Telemetry System,Electrical System
Telemetry System,Electricity Meter
Telemetry System,Electricity Sub Meter
Telemetry System,Equipment Housing
Telemetry System,Equipment Mounting Board
Telemetry System,Fastenings
Telemetry System,Fixings
Telemetry System,Foundation
Telemetry System,Incomer
Telemetry System,Ladder
Telemetry System,Lighting
Telemetry System,Measurement Scale
Telemetry System,Modem
Telemetry System,Network
Telemetry System,Outstation
Telemetry System,Padlock or Lock
Telemetry System,Pipe
Telemetry System,Post
Telemetry System,Programmable Logic Computers
Telemetry System,Relay Control
Telemetry System,Router
Telemetry System,Security Camera
Telemetry System,Solar Panel
Telemetry System,Stilling Tube
Telemetry System,Surge Arrester
Telemetry System,Transformer
Telemetry System,Treads and Risers
Telemetry System,Uninterruptible Power Supply
Telemetry System,Wind Turbine
Utility Services Crossing,Abutment
Utility Services Crossing,Channel Bed
Utility Services Crossing,Pillar
Utility Services Crossing,Span
Vehicle Access Road,Access Point
Vehicle Access Road,Access Strip
Vehicle Access Road,Bollard
Vehicle Access Road,Datum Plates and Markers
Vehicle Access Road,Drainage Ditch
Vehicle Access Road,Drainage System
Vehicle Access Road,Foundation
Vehicle Access Road,Grassed Elements
Vehicle Access Road,Kerbs
Vehicle Access Road,Lighting
Vehicle Access Road,Planted Elements
Vehicle Access Road,Road
Vehicle Access Road,Security Barrier
Vehicle Access Road,Slope
Vehicle Access Road,Substructure
Vehicle Access Road,Swale
Visitor Centre,Access Strip
Visitor Centre,Alternator
Visitor Centre,Balustrade
Visitor Centre,Beams
Visitor Centre,Cable and Pipe Management
Visitor Centre,Ceiling
Visitor Centre,Climate Control
Visitor Centre,Distribution Board
Visitor Centre,Distribution Network Operator Feeder
Visitor Centre,Doors and Windows
Visitor Centre,Drainage System
Visitor Centre,Electrical System
Visitor Centre,Electricity Meter
Visitor Centre,Electricity Sub Meter
Visitor Centre,Equipment Mounting Board
Visitor Centre,External Features
Visitor Centre,External Walls
Visitor Centre,Fastenings
Visitor Centre,Fire Protection
Visitor Centre,Fixed Fall Arrest System
Visitor Centre,Fixings
Visitor Centre,Floor
Visitor Centre,Foundation
Visitor Centre,Frame
Visitor Centre,Fuel Cell
Visitor Centre,Gas System
Visitor Centre,Grassed Elements
Visitor Centre,Habitat Enhancement
Visitor Centre,Handrail
Visitor Centre,Heating System
Visitor Centre,Hydro Turbine
Visitor Centre,Incomer
Visitor Centre,Internal Features
Visitor Centre,Internal Walls
Visitor Centre,Lighting
Visitor Centre,Maintenance Hole
Visitor Centre,Padlock or Lock
Visitor Centre,Planted Elements
Visitor Centre,Roller Shutters
Visitor Centre,Roof
Visitor Centre,Security Camera
Visitor Centre,Sewage Treatment System
Visitor Centre,Solar Panel
Visitor Centre,Substructure
Visitor Centre,Transformer
Visitor Centre,Treads and Risers
Visitor Centre,Uninterruptible Power Supply
Visitor Centre,Ventilation System
Visitor Centre,Waste Disposal System
Visitor Centre,Water Point
Visitor Centre,Water Supply Plumbing System
Vortex Flow Control,Apron
Vortex Flow Control,Downstream Headwall
Vortex Flow Control,Treads and Risers
Vortex Flow Control,Upstream Headwall
Vortex Flow Control,Vortex
Wall,Access Strip
Wall,Bearing Piling
Wall,Berm
Wall,Capping Beam
Wall,Channel Side
Wall,Coping
Wall,Core
Wall,Crest
Wall,Expansion Joint
Wall,Exposed Face
Wall,Exposed Toe
Wall,Fill
Wall,Foundation
Wall,Glass Panel
Wall,Glass Panel Frame
Wall,Ground Anchors
Wall,Landward Face
Wall,Landward Toe
Wall,Piling
Wall,Property Level Resilience
Wall,Seals
Wall,Sheet Piling
Wall,Shore
Wall,Splash Deck
Wall,Splash Wall
Warning Flag,Flag
Warning Flag,Post
Water Baffles,Baffles
Water Baffles,Channel
Water Baffles,Treads and Risers
Water Distribution Pipeline,Foundation
Water Distribution Pipeline,Isolation Flange
Water Distribution Pipeline,Maintenance Hole
Water Distribution Pipeline,Pipe Flange
Water Distribution Pipeline,Pipe Sleeve
Water Distribution Pipeline,Pipe T Piece
Water Distribution Pipeline,Pipe Valve
Water Distribution Pipeline,Pipework
Water Distribution Pipeline,Seals
Water Distribution Pipeline,Treads and Risers
Water Storage Area,Access Strip
Water Storage Area,Animal Grid
Water Storage Area,Channel Bed
Water Storage Area,Fish Guidance and Deterrents
Water Storage Area,Grassed Elements
Water Storage Area,Habitat Enhancement
Water Storage Area,Inlet
Water Storage Area,Ladder
Water Storage Area,Outlet
Water Storage Area,Planted Elements
Water Storage Area,Pontoon
Water Storage Area,Vegetation Cover
Watermill,Alternator
Watermill,Ceiling
Watermill,Climate Control
Watermill,Doors and Windows
Watermill,External Features
Watermill,Fire Protection
Watermill,Floor
Watermill,Foundation
Watermill,Frame
Watermill,Fuel Cell
Watermill,Hydro Turbine
Watermill,Internal Features
Watermill,Lighting
Watermill,Roller Shutters
Watermill,Roof
Watermill,Security Camera
Watermill,Solar Panel
Watermill,Treads and Risers
Watermill,Uninterruptible Power Supply
Watermill,Water Wheel
Weir,Access Point
Weir,Access Strip
Weir,Actuator
Weir,Apron
Weir,Bearing Piling
Weir,Capping Beam
Weir,Central Support Structure
Weir,Crest
Weir,Datum Plates and Markers
Weir,Davit
Weir,Daymark
Weir,Downstream Face
Weir,Drive Assembly
Weir,Expansion Joint
Weir,Exposed Face
Weir,Gantry
Weir,Guide Pile
Weir,Ladder
Weir,Left Bank Wall
Weir,Mooring Point
Weir,Navigation Light
Weir,Paddles and Rymers
Weir,Pile Capping
Weir,Piling
Weir,Right Bank Wall
Weir,Sheet Piling
Weir,Stoplogs and Lasherboards
Weir,Treads and Risers
Weir,Upstream Face
Weir,Waling
Weir,Weir Plate
Well,Access Point
Well,Access Strip
Well,Chamber
Well,Equipment Housing
Well,Fixings
Well,Inlet
Well,Internal Features
Well,Ladder
Well,Maintenance Hole
Well,Outlet
Well,Padlock or Lock
Well,Pipe
Well,Pipework
Well,Pump Out Point
Well,Seals
Well,Treads and Risers
Wind Power Generator,Access Strip
Wind Power Generator,Alternator
Wind Power Generator,Cable and Pipe Management
Wind Power Generator,Common Controls
Wind Power Generator,Control Equipment
Wind Power Generator,Distribution Board
Wind Power Generator,Distribution Network Operator Feeder
Wind Power Generator,Drive Assembly
Wind Power Generator,Electrical System
Wind Power Generator,Electricity Meter
Wind Power Generator,Electricity Sub Meter
Wind Power Generator,Equipment Housing
Wind Power Generator,Foundation
Wind Power Generator,Incomer
Wind Power Generator,Ladder
Wind Power Generator,Mast
Wind Power Generator,Starter
Wind Power Generator,Transformer
Wind Power Generator,Wind Turbine
Promenade,Splash Wall
Promenade,Exposed Toe
Promenade,Exposed Face
Promenade,Shore
Engineered High Ground,Toe Protection
